sku,nombre,departamento,clase,tipo_marca,fecha,unidades,venta_neta,precio,costo
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2024-02-01,3,104.7,34.9,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2024-03-01,12,369.55,30.8,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2024-05-01,19,563.72,29.67,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2024-09-01,4,134.33,33.58,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2024-12-01,10,316.73,31.67,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2025-02-01,2,70.77,35.38,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2025-05-01,13,397.42,30.57,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2025-07-01,18,531.57,29.53,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2025-08-01,6,203.62,33.94,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2025-09-01,2,71.79,35.9,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2025-10-01,9,286.04,31.78,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2026-02-01,12,366.43,30.54,21.48
50094195,REFUERZO CARP ROJO 210P OMX,ARCHIVO Y ACCESORIOS,REFUERZOS PARA CARPETA,Marca Propia,2026-03-01,5,162.54,32.51,21.48
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2024-03-01,605,28632.2,47.33,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2024-04-01,2,156.44,78.22,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2024-09-01,1,83.67,83.67,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2024-10-01,5,368.53,73.71,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2024-11-01,169,8849.14,52.36,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-01-01,8,552.93,69.12,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-03-01,2,165.85,82.93,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-05-01,7,510.95,72.99,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-06-01,35,2144.19,61.26,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-07-01,16,1080.02,67.5,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-09-01,13,860.3,66.18,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2025-12-01,57,3304.45,57.97,39.38
50125508,ARCHIVERO EXP STUK BUTTERFLY 8DIV,ARCHIVO Y ACCESORIOS,ARCHIVOS EXPANDIBLES,Marca Propia,2026-02-01,46,2769.3,60.2,39.38
50066388,CAJA ARCHIVO REGISTRADOR OFFIC,ARCHIVO Y ACCESORIOS,CAJAS DE ARCHIVO,Marca Externa,2024-01-01,3,184.96,61.65,37.1
